species,pi,xi,kernel,TL,OI,FT
species001,0.2,0.055,Exponential,1.000000000000001,0,basal
species002,0.2,0.055,Exponential,1.0000000000000036,0,basal
species003,0.2,0.055,Exponential,1.000000000000008,0,basal
species004,0.2,0.055,Exponential,1.0000000000000182,0,basal
species005,0.2,0.055,Exponential,1.0000000000000013,0,basal
species006,0.2,0.055,Exponential,0.9999999999999941,0,basal
species007,0.2,0.055,Exponential,0.9999999999999936,0,basal
species008,0.2,0.055,Exponential,1.0000000000000235,0,basal
species009,0.2,0.055,Exponential,0.9999999999999992,0,basal
species010,0.2,0.055,Exponential,1.0000000000000049,0,basal
species011,0.2,0.055,Exponential,1.0000000000000007,0,basal
species012,0.2,0.055,Exponential,1.0000000000000007,0,basal
species013,0.2,0.055,Exponential,1.0000000000000036,0,basal
species014,0.2,0.055,Exponential,1.0000000000000029,0,basal
species015,0.2,0.055,Exponential,0.9999999999999999,0,basal
species016,0.2,0.055,Exponential,1.0000000000000002,0,basal
species017,0.2,0.055,Exponential,1.0000000000000013,0,basal
species018,0.2,0.055,Exponential,0.9999999999999998,0,basal
species019,0.2,0.055,Exponential,0.9999999999999993,0,basal
species020,0.2,0.055,Exponential,0.9999999999999989,0,basal
species021,0.2,0.055,Exponential,0.9999999999999987,0,basal
species022,0.2,0.055,Exponential,0.9999999999999989,0,basal
species023,0.2,0.055,Exponential,1.0000000000000002,0,basal
species024,0.2,0.055,Exponential,1.0000000000000004,0,basal
species025,0.2,0.055,Exponential,1.0000000000000007,0,basal
species026,0.2,0.055,Exponential,1.0000000000000007,0,basal
species027,0.2,0.055,Exponential,0.9999999999999976,0,basal
species028,0.2,0.055,Exponential,0.999999999999997,0,basal
species029,0.2,0.055,Exponential,0.999999999999999,0,basal
species030,0.2,0.055,Exponential,0.9999999999999988,0,basal
species031,0.2,0.055,Exponential,0.999999999999999,0,basal
species032,0.2,0.055,Exponential,0.9999999999999992,0,basal
species033,0.2,0.055,Exponential,0.9999999999999991,0,basal
species034,0.2,0.055,Exponential,0.9999999999999997,0,basal
species035,0.2,0.055,Exponential,0.9999999999999996,0,basal
species036,0.2,0.055,Exponential,1.0000000000000004,0,basal
species037,0.2,0.055,Exponential,0.9999999999999981,0,basal
species038,0.2,0.055,Exponential,1.0000000000000013,0,basal
species039,0.2,0.055,Exponential,1.0000000000000004,0,basal
species040,0.2,0.055,Exponential,0.9999999999999986,0,basal
species041,0.2,0.055,Exponential,0.9999999999999999,0,basal
species042,0.2,0.055,Exponential,0.9999999999999996,0,basal
species043,0.2,0.055,Exponential,1.0000000000000009,0,basal
species044,0.2,0.055,Exponential,0.9999999999999989,0,basal
species045,0.2,0.055,Exponential,1.0000000000000009,0,basal
species046,0.2,0.055,Exponential,1.0000000000000009,0,basal
species047,0.2,0.055,Exponential,1.0000000000000022,0,basal
species048,0.2,0.055,Exponential,1.0000000000000018,0,basal
