consumer,resource
species21,species01
species21,species02
species21,species03
species21,species04
species21,species05
species21,species06
species22,species02
species22,species03
species22,species04
species22,species05
species22,species06
species22,species07
species22,species08
species22,species21
species23,species06
species23,species07
species23,species08
species23,species09
species23,species10
species23,species11
species23,species21
species24,species07
species24,species08
species24,species09
species24,species10
species24,species11
species24,species21
species24,species22
species25,species07
species25,species08
species25,species09
species25,species10
species25,species11
species25,species21
species25,species22
species26,species07
species26,species08
species26,species09
species26,species10
species26,species11
species26,species12
species26,species13
species26,species14
species26,species15
species26,species21
species26,species22
species26,species23
species27,species07
species27,species08
species27,species09
species27,species10
species27,species11
species27,species12
species27,species13
species27,species14
species27,species15
species27,species22
species27,species23
species27,species24
species28,species12
species28,species13
species28,species14
species28,species15
species28,species16
species28,species17
species28,species18
species28,species22
species28,species23
species28,species24
species28,species25
species28,species26
species28,species27
species29,species17
species29,species18
species29,species19
species29,species20
species29,species26
species29,species27
species29,species28
species30,species19
species30,species20
species30,species28
species30,species29
species31,species28
species31,species29
species32,species29
species32,species30
species32,species31
species33,species29
species33,species30
species33,species31
species34,species29
species34,species30
species34,species31
species35,species30
species35,species31
species35,species32
species35,species33
species36,species30
species36,species31
species36,species32
species36,species33
species37,species30
species37,species31
species37,species32
species37,species33
species37,species34
species38,species30
species38,species31
species38,species32
species38,species33
species38,species34
species39,species31
species39,species32
species39,species33
species39,species34
species39,species35
species39,species36
species39,species37
species40,species31
species40,species32
species40,species33
species40,species34
species40,species35
species40,species36
species40,species37
species40,species38
